nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2
13, 3, 247, 250, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 6
13, 3, 47, 76, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 5, 1
13, 3, 115, 149, 8.0, 37.0, 91.0, true, true, true, 345.0, 540.0, 447.0, 709.0, 2, 4, 7
13, 3, 332, 353, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 7, 6
13, 3, 170, 183, 10.0, 60869.0, 3178.0, false, false, true, 510.0, 791.0, 549.0, 855.0, 3, 7, 2
13, 3, 178, 234, 20.0, 142.0, 155.0, true, true, true, 534.0, 843.0, 702.0, 1122.0, 7, 3, 2
13, 3, 73, 100, 20.0, 31.0, 37.0, true, true, true, 219.0, 350.0, 300.0, 484.0, 6, 3, 2
13, 3, 38, 71, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 1, 4
13, 3, 142, 258, 11.0, 60841.0, 61579.0, false, false, true, 426.0, 679.0, 774.0, 1258.0, 4, 3, 1
13, 3, 35, 73, 20.0, 19.0, 24.0, true, true, true, 105.0, 182.0, 219.0, 371.0, 3, 2, 2
13, 3, 369, 393, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 6, 7
13, 3, 131, 144, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 5
13, 3, 30, 58, 15.0, 7.0, 26.0, true, true, true, 90.0, 149.0, 174.0, 288.0, 3, 1, 1
13, 3, 231, 254, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 6, 6
13, 3, 260, 286, 6.0, 28608.0, 50286.0, false, false, true, 780.0, 1213.0, 858.0, 1342.0, 4, 3, 4
13, 3, 36, 72, 24.0, 18.0, 30.0, true, true, true, 108.0, 181.0, 216.0, 360.0, 1, 2, 1
13, 3, 24, 63, 16.0, 11.0, 31.0, true, true, true, 72.0, 127.0, 189.0, 321.0, 1, 1, 1
13, 3, 391, 415, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 7, 6
13, 3, 43, 75, 8.0, 12.0, 23.0, true, true, true, 129.0, 210.0, 225.0, 369.0, 1, 2, 2
13, 3, 228, 237, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 6
13, 3, 134, 152, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 4, 1
13, 3, 239, 263, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 6
13, 3, 98, 119, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 5, 1
13, 3, 44, 68, 6.0, 19.0, 23.0, true, true, true, 132.0, 211.0, 204.0, 330.0, 2, 1, 5
13, 3, 149, 156, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 5
13, 3, 104, 134, 12.0, 54.0, 214.0, true, true, true, 312.0, 495.0, 402.0, 644.0, 5, 2, 2
13, 3, 150, 157, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 5, 4
13, 3, 311, 341, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 3, 6
13, 3, 74, 147, 9.0, 25.0, 52.0, true, true, true, 222.0, 361.0, 441.0, 725.0, 1, 1, 5
13, 3, 70, 136, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 1
13, 3, 107, 141, 4.0, 38.0, 47.0, true, true, true, 321.0, 500.0, 423.0, 669.0, 1, 4, 6
13, 3, 247, 250, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 6, 6
13, 3, 64, 145, 17.0, 18.0, 63.0, true, true, true, 192.0, 315.0, 435.0, 719.0, 4, 1, 1
13, 3, 39, 63, 6.0, 6.0, 21.0, true, true, true, 117.0, 190.0, 189.0, 309.0, 1, 1, 7
13, 3, 139, 178, 24.0, 649.0, 3316.0, true, true, true, 417.0, 656.0, 534.0, 850.0, 3, 2, 3
13, 3, 391, 415, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 6
13, 3, 217, 241, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 3, 2
13, 3, 139, 165, 8.0, 314.0, 325.0, false, false, true, 417.0, 646.0, 495.0, 775.0, 4, 2, 7
13, 3, 46, 77, 6.0, 21.0, 49.0, true, true, true, 138.0, 225.0, 231.0, 379.0, 1, 2, 4
13, 3, 192, 230, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 7, 3
13, 3, 105, 174, 9.0, 43.0, 218.0, true, true, true, 315.0, 502.0, 522.0, 846.0, 2, 4, 1
13, 3, 90, 107, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 7
13, 3, 219, 230, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 3, 6
13, 3, 36, 71, 15.0, 16.0, 48.0, true, true, true, 108.0, 181.0, 213.0, 355.0, 2, 2, 1
13, 3, 105, 175, 2.0, 16.0, 58.0, true, true, true, 315.0, 498.0, 525.0, 847.0, 2, 1, 6
13, 3, 114, 172, 6.0, 48.0, 125.0, true, true, true, 342.0, 537.0, 516.0, 826.0, 1, 3, 6
13, 3, 333, 341, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 7
13, 3, 93, 143, 20.0, 96.0, 140.0, true, true, true, 279.0, 442.0, 429.0, 691.0, 7, 4, 2
13, 3, 324, 345, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 4
13, 3, 260, 286, 15.0, 61407.0, 62484.0, false, false, true, 780.0, 1213.0, 858.0, 1342.0, 6, 3, 4
13, 3, 241, 322, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 6, 2
13, 3, 125, 140, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 1
13, 3, 392, 400, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 6
13, 3, 109, 140, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 2
13, 3, 196, 284, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 1
