nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3, weight4, weight5
15, 6, 307, 402, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 6, 4, 3, 1, 1
15, 6, 794, 1005, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2, 3, 3, 8, 4
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2, 2, 5, 6, 3
15, 6, 381, 471, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 7, 1, 7, 5
15, 6, 697, 818, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 8, 4, 1, 8, 7
15, 6, 498, 820, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 3, 7, 8, 2, 8
15, 6, 477, 512, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 8, 4, 5, 4, 5
15, 6, 123, 149, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 1, 7, 8, 2, 5
15, 6, 543, 682, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 3, 2, 1, 4
15, 6, 252, 352, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 1, 5, 1, 8
15, 6, 1051, 1114, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 4, 3, 2, 7, 2
15, 6, 1465, 1529, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4, 4, 3, 3, 7
15, 6, 450, 544, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 3, 8, 8, 6
15, 6, 722, 802, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2, 7, 3, 7, 2
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 1, 4, 7, 6, 8
15, 6, 793, 908, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 8, 4, 5, 3
15, 6, 382, 421, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 8, 3, 6, 2, 3
15, 6, 195, 345, 30.0, 138.0, 321.0, true, true, true, 585.0, 916.0, 1035.0, 1665.0, 2, 1, 5, 6, 1, 1
15, 6, 679, 769, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 1, 6, 6, 7, 2
15, 6, 78, 133, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 1, 6, 4, 2
15, 6, 648, 859, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 4, 2, 3, 8, 4
15, 6, 525, 602, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 5, 6, 4, 7, 6
15, 6, 882, 1242, 5.0, 8387.0, 737.0, true, true, true, 2646.0, 4037.0, 3726.0, 5836.0, 2, 7, 7, 6, 1, 8
15, 6, 453, 573, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2, 5, 4, 5, 2
15, 6, 935, 984, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 4, 4, 8, 1, 3
15, 6, 524, 667, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 7, 3, 8, 1, 7
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 8, 3, 2, 3, 7
15, 6, 844, 1042, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 1, 5, 2, 4, 4
15, 6, 426, 493, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 1, 4, 6, 3, 4
15, 6, 614, 707, -5.6843418860808015E-14, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 8, 6, 5, 7, 7
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 2, 6, 7, 4, 8
15, 6, 359, 504, 75.0, 59362.0, 62144.0, false, false, true, 1077.0, 1634.0, 1512.0, 2358.0, 1, 2, 3, 8, 4, 8
15, 6, 1123, 1188, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 6, 4, 4, 6, 4
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 5, 4, 7, 8
15, 6, 324, 416, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 2, 5, 3, 4, 5
15, 6, 700, 760, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 2, 2, 6, 6
15, 6, 356, 402, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 5, 1, 8, 4
15, 6, 1172, 1222, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 6, 8, 6, 1, 4
15, 6, 440, 476, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 6, 6, 2, 8, 2
15, 6, 1010, 1206, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 8, 6, 7, 1, 7
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3, 4, 3, 6, 2
15, 6, 369, 526, 2.5, 61466.0, 62267.0, false, false, true, 1107.0, 1666.0, 1578.0, 2450.0, 2, 4, 1, 2, 7, 4
15, 6, 386, 484, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 5, 6, 7, 2, 3
15, 6, 125, 183, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4, 7, 2, 6, 1
15, 6, 702, 788, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 4, 6, 3, 6
15, 6, 675, 714, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 5, 3, 8, 6
15, 6, 376, 425, 15.0, 61431.0, 62119.0, false, false, true, 1128.0, 1667.0, 1275.0, 1911.0, 3, 6, 4, 5, 3, 4
15, 6, 747, 948, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 8, 5, 1, 7
15, 6, 607, 702, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4, 2, 4, 2, 6
15, 6, 1276, 1569, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 6, 8, 4, 4, 6
15, 6, 1498, 1681, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 8, 8, 8, 5
15, 6, 426, 475, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 4, 6, 4, 1, 5
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 1, 1, 5, 6, 8
15, 6, 772, 980, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 7, 5, 7, 1
15, 6, 219, 306, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 5, 2, 3, 7, 1
15, 6, 280, 333, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3, 4, 2, 2, 1
15, 6, 895, 949, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 2, 3, 3, 5, 2
15, 6, 911, 974, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 7, 5, 7, 6
15, 6, 432, 531, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 1, 5, 3, 1
15, 6, 841, 1037, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 1, 3, 8, 5, 7
15, 6, 566, 638, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 7, 8, 1, 8, 5
15, 6, 765, 998, 10.0, 428.0, 702.0, true, true, true, 2295.0, 3604.0, 2994.0, 4768.0, 1, 1, 4, 7, 4, 2
15, 6, 479, 582, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 4, 3, 8, 2, 3
15, 6, 952, 1018, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 8, 5, 4, 5, 2
15, 6, 909, 1134, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 4, 6, 3, 4
15, 6, 211, 263, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 6, 7, 6, 1, 1
15, 6, 310, 378, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 1, 7, 1, 3, 8
15, 6, 439, 479, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 7, 3, 2, 7, 2
15, 6, 1082, 1119, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 8, 8, 7, 3, 5
15, 6, 1011, 1163, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 3, 2, 3, 2
15, 6, 689, 804, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 1, 6, 5, 7
15, 6, 186, 276, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 7, 4, 6, 8
15, 6, 742, 907, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 8, 8, 8, 7
15, 6, 267, 308, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 5, 6, 5, 1, 1
15, 6, 744, 825, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 8, 4, 8, 7, 3
15, 6, 772, 906, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 7, 6, 5, 6
15, 6, 313, 371, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 3, 8, 8, 6, 2
15, 6, 319, 386, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3, 5, 6, 5, 2
15, 6, 275, 333, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 5, 2, 6, 3, 3
15, 6, 324, 428, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 1, 7, 7, 5
15, 6, 674, 700, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 4, 6, 5, 4, 6
15, 6, 414, 470, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 5, 7, 8, 6
15, 6, 336, 411, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 5, 2, 5, 8, 5
15, 6, 549, 639, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 5, 8, 1, 3, 5
15, 6, 527, 626, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 8, 3, 4, 2, 7
15, 6, 1, 16, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 4, 2, 4, 7, 5
15, 6, 171, 195, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3, 4, 6, 4, 7
15, 6, 198, 367, 10.0, 57.0, 93.0, true, true, true, 594.0, 943.0, 1101.0, 1787.0, 1, 2, 4, 7, 6, 1
15, 6, 513, 541, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 2, 8, 5, 4
15, 6, 224, 280, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 8, 7, 2, 6, 1, 1
